test_start,rank,run_name,valid_loss_best,test_sharpe_gross,test_sharpe_net,test_calmar_gross,test_calmar_net
2010,1,stilted-sweep-50,1.5283345106652826,0.8853605674887866,0.5308581284190154,3.148356676101685,1.8942731355351592
2010,2,fancy-sweep-46,1.259248826436207,0.8250161388805983,0.37768993057656447,3.2524545192718506,1.493777263718591
2010,3,playful-sweep-23,1.0886749768420882,0.6077186163524182,0.3326859205537646,3.054165840148926,1.6725252425526071
2010,4,frosty-sweep-47,0.8635432135935613,1.0824712546523243,0.7355878370170039,3.8919098377227783,2.6757419413993073
2010,5,stilted-sweep-28,0.6866334005543802,0.938403593286664,0.8042968030861746,6.768306732177734,5.804266908085139
2010,6,glamorous-sweep-43,0.6637115549802155,1.088077709375861,0.7247931354528413,4.671710968017578,3.113987051789693
2010,7,lemon-sweep-12,0.6636631696729263,0.7169435166040571,0.5498002108229195,4.9661359786987305,3.8092030873224982
2010,8,youthful-sweep-24,0.5923575886883231,0.670067813550237,0.37570646877110847,4.137517929077148,2.322269901109618
2010,9,fallen-sweep-5,0.5839217964189104,0.5654418774887223,0.5107221109189143,4.778051853179932,4.316933715987473
2010,10,glad-sweep-32,0.5751645904504825,0.6237191188952793,0.5012647459236846,4.912164688110352,3.949797437727925
2015,1,balmy-sweep-11,2.1769193151541764,2.07699638197024,1.6075729727027297,9.117645263671877,7.492596209918914
2015,2,different-sweep-22,2.040470239874044,1.668420137905151,1.1822592012305504,6.642424583435059,4.709042271559726
2015,3,peach-sweep-47,2.0385585884586535,1.5183481088074078,0.9861593019367512,2.6334316730499268,3.026093173082124
2015,4,confused-sweep-21,1.9196887943770975,2.090809385567683,1.4993746126056031,4.135800361633301,5.722620399611591
2015,5,hopeful-sweep-44,1.9011007564652476,1.5140722238964772,0.9052337487315972,4.781561851501465,2.858610063051605
2015,6,visionary-sweep-37,1.839798864081971,1.8808681434279395,1.3865551509090674,5.952164649963379,4.384817309726836
2015,7,splendid-sweep-6,1.8063760258464416,1.2809055509706486,0.7510187687418302,6.194029808044434,3.633610498933305
2015,8,lilac-sweep-45,1.782641807036943,2.0408407776202915,1.4704184096296378,6.035266876220703,4.343403087592058
2015,9,exalted-sweep-28,1.7718682676812174,2.0424041399270516,1.5512022762225282,8.92381763458252,6.78001521156137
2015,10,vocal-sweep-52,1.771551083507014,1.7781245320795185,1.2410031220734268,6.165817737579346,4.304451943739458
2020,1,honest-sweep-2,1.9272058356214656,1.6061958424903713,1.1299412825300583,0.4928706884384155,0.8477668299943123
2020,2,elated-sweep-68,1.8624696701216976,0.8250948910740238,0.44685165795532583,1.2222927808761597,1.0120825589414917
2020,3,jumping-sweep-61,1.7779484411399098,0.8640186844316887,0.48014126610620633,3.854717254638672,2.1530426848322333
2020,4,lucky-sweep-58,1.675750166374833,0.8530907072530746,0.4866696228522903,3.770285844802856,2.1572653511751954
2020,5,graceful-sweep-22,1.6715184436870714,1.0308744557263811,0.6670109312453495,4.731287002563477,3.059309934924702
2020,6,proud-sweep-70,1.66995821700987,1.7132677694354852,1.194536954919861,8.018823623657227,5.728068575352223
2020,7,vital-sweep-44,1.542876185244947,1.366297378919321,1.011661259241125,4.877842903137207,3.630500691425461
2020,8,unique-sweep-48,1.492325272902098,1.9562523870751405,1.50027144112797,10.588737487792969,8.153305619732022
2020,9,dainty-sweep-7,1.4304900043106488,1.0663666177145303,0.8351287536806692,3.459941864013672,2.806708015516096
2020,10,youthful-sweep-20,1.4286518093688718,0.8861483480632029,0.6888415765781881,4.8052978515625,3.759922265699731
